ja	zh-TW	category	status	notes
エナジー	精神力	battle	provisional	系列核心能力系統；避免直譯為能量；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ジン	精靈	battle	provisional	元素精靈系統；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
しょうかん	召喚	battle	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
こうげき	攻擊	battle	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ぼうぎょ	防禦	battle	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
アイテム	道具	ui	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ステータス	狀態	ui	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
せんとうふっき	戰鬥復原	system	provisional	待確認實際功能流程；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
どくのちりょう	治療中毒	service	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
あくりょうばらい	驅除惡靈	service	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
のろいをとく	解除詛咒	service	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ほりだしもの	珍品	shop	provisional	商店回購／稀有商品欄位；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ラッキーメダル	幸運獎牌	item	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
コンフィグこうもく	設定項目	config	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
エナジーショートカット	精神力快捷鍵	config	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
メッセージスピード	文字速度	config	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
ウインドウカラー	視窗顏色	config	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
せんとうカメラアングル	戰鬥鏡頭	config	provisional	-；第一部原文同見，沿用《失落的時代》譯名以維持系列人名地名一致
